carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1.27,Ideal,F,SI2,62.0,55.0,6.9,6.95,4.3,7223.183926648855
1.06,Premium,D,VS2,62.3,59.0,6.48,6.52,4.05,6933.437510157775
1.07,Premium,D,IF,60.9,58.0,6.67,6.57,4.03,8042.002439544376
1.02,Premium,G,SI1,63.0,55.0,6.45,6.4,4.05,5482.772462551968
1.0,Very Good,H,SI1,63.4,56.0,6.37,6.34,4.03,4758.500825919478
0.34,Ideal,F,VS2,62.5,55.0,4.51,4.48,2.81,748.5034492076134
1.2,Very Good,G,SI2,61.8,60.0,6.78,6.85,4.21,6122.555235670099
0.58,Ideal,E,VS2,61.6,55.0,5.33,5.38,3.3,2731.2540315627407
0.3,Good,H,SI1,63.8,55.0,4.2,4.26,2.7,-1032.1607772135853
2.0,Premium,D,SI2,61.6,59.0,8.09,8.2,5.02,14348.547291897345
0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,769.2431534355715
0.3,Ideal,E,VVS2,61.1,57.0,4.34,4.36,2.65,1267.5455924687872
1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,3955.673028567181
0.43,Premium,D,SI1,61.2,58.0,4.87,4.83,2.97,997.6563488244578
0.51,Premium,F,VS1,60.2,58.0,5.25,5.21,3.15,2208.511913738636
1.0,Premium,E,SI1,61.9,62.0,6.4,6.34,3.94,5482.163954529371
0.31,Ideal,H,VVS2,61.2,56.0,4.34,4.37,2.66,630.9453367599249
0.31,Ideal,G,VVS1,61.9,55.0,4.36,4.3,2.68,1138.0514990968773
0.51,Ideal,I,SI1,62.5,57.0,5.07,5.1,3.18,232.3299193624539
0.77,Premium,D,VS2,61.3,60.0,5.92,5.89,3.62,4286.220274680001
0.7,Ideal,G,SI2,61.2,56.0,5.73,5.78,3.52,1828.2016933950981
0.58,Very Good,E,SI2,59.0,62.0,5.46,5.49,3.23,914.7724283624452
0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,2527.3791313006973
0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,1963.2090370401706
0.52,Ideal,E,VS2,61.2,56.0,5.16,5.23,3.18,2232.275780343955
0.31,Ideal,F,VS2,62.8,56.0,4.32,4.28,2.7,562.3726287172444
1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,10306.106031378662
0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,4345.921937466479
0.27,Very Good,E,VVS2,62.5,59.0,4.09,4.14,2.57,931.6831231356459
0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,3963.4489618143857
0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,2270.3349759439147
1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,9209.692556346828
0.33,Ideal,E,VS1,60.6,57.0,4.5,4.54,2.74,1098.5030707058063
0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,938.0646526812491
0.55,Very Good,I,VS2,61.0,57.0,5.31,5.32,3.24,1025.3191209732345
1.08,Good,E,SI2,63.7,57.0,6.54,6.49,4.15,5094.502166261163
0.52,Premium,G,VVS1,61.9,61.0,5.13,5.11,3.17,2477.8927585813894
0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46,441.2914702754574
0.36,Ideal,D,VS2,62.5,55.0,4.55,4.57,2.85,1206.7886751904548
1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,3725.8103512458174
0.75,Premium,H,VS2,60.8,57.0,5.9,5.87,3.58,3217.5311345977766
0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,1879.4215520666676
0.31,Ideal,E,VS1,61.3,55.0,4.36,4.38,2.68,1023.0861378841068
0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,291.22713973706004
0.41,Ideal,D,VVS2,62.1,56.0,4.76,4.78,2.96,2236.0215974336
0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,-865.5102471777391
0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,2943.7879102788224
1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,5720.300579881647
1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,12779.141515534384
1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,4973.729788422164
1.02,Ideal,G,VS2,62.3,55.0,6.45,6.48,4.03,6206.20237970949
0.63,Very Good,E,SI1,61.0,57.6,5.48,5.51,3.36,2398.198314900731
0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,916.9511003005496
0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,4197.981715817808
0.4,Ideal,F,IF,60.9,57.0,4.81,4.84,2.94,2240.357248339356
1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11,4053.493242638244
1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32,3274.114572298561
0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,4311.377486709537
1.5,Premium,F,VS2,61.5,58.0,7.34,7.36,4.52,10809.614278232264
0.5,Very Good,D,VS2,62.8,58.0,5.0,5.03,3.15,2108.561896928761
0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,3562.657453281797
0.31,Ideal,I,SI1,62.2,56.0,4.37,4.34,2.71,-1249.2986462629992
0.36,Very Good,E,VS2,61.3,60.0,4.55,4.59,2.8,840.5955252740882
0.79,Ideal,I,SI2,62.1,56.0,5.92,5.97,3.69,1597.2077814244885
0.3,Premium,D,VS2,61.9,58.0,4.32,4.28,2.66,659.1265602705021
0.7,Ideal,D,SI2,60.4,56.0,5.78,5.81,3.5,2313.7903654383063
1.35,Very Good,J,VS1,62.1,56.0,7.04,7.1,4.39,7604.494042956656
0.44,Ideal,D,VS1,61.1,56.0,4.95,4.91,3.01,2070.4313096671344
0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,1812.1080743121415
0.74,Ideal,F,SI1,62.5,56.0,5.8,5.76,3.61,3291.03667734197
1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,7156.940560804829
0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,1130.77860892934
1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,6857.469285128238
0.71,Ideal,F,VS2,61.6,56.0,5.74,5.77,3.54,3677.7871580804376
1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,4745.469023952139
2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,14256.122222362354
2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,15095.067306679326
1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,3880.6176636376745
0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,4424.758352662746
0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,2000.9269088859833
0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,2023.757095043739
1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,10936.348524410145
1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,5287.265676295969
0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,2396.6053859711033
1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,10798.004653083453
2.07,Premium,H,SI1,61.1,58.0,8.27,8.2,5.03,15000.916465870481
0.41,Ideal,J,VVS1,62.0,57.0,4.79,4.73,2.95,-135.00646184013522
1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,11576.104550121237
0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,1496.7735075647674
1.12,Premium,G,I1,60.4,59.0,6.71,6.67,0.0,2934.709992908538
1.0,Ideal,G,VVS2,62.8,53.9,6.37,6.42,4.02,6740.244144829223
1.01,Premium,I,VVS1,62.0,59.0,6.39,6.32,3.94,5752.801240965022
1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,7098.122092922469
0.31,Ideal,F,VVS1,60.6,56.0,4.44,4.41,2.68,1324.8059487210708
0.3,Very Good,F,IF,62.5,56.0,4.27,4.3,2.68,1480.280932240416
1.16,Ideal,J,SI1,60.7,57.0,6.83,6.77,4.13,4950.445210823476
0.3,Premium,E,VS2,59.1,58.0,4.37,4.39,2.59,587.734932728295
1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,6941.5236476850805
0.94,Fair,H,SI1,68.4,53.0,6.05,5.97,4.11,3452.47394963034
0.5,Ideal,I,VS2,62.4,55.0,5.09,5.11,3.18,759.4085688867995
1.2,Ideal,E,SI2,62.0,57.0,6.8,6.82,4.22,6555.160820988129
0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,1639.7994666035124
0.62,Ideal,D,SI1,60.8,59.0,5.48,5.5,3.34,2581.7579833570726
1.02,Good,G,VS2,63.7,57.0,6.24,6.31,4.0,6016.413141441684
0.96,Very Good,I,SI2,62.7,58.0,6.2,6.24,3.9,3020.1764015473423
1.51,Very Good,F,VS1,59.6,63.0,7.34,7.43,4.4,11193.73128588033
0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,3007.5498821593897
0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,855.3314329813047
0.4,Premium,G,SI1,59.3,59.0,4.82,4.8,2.85,329.55652796618006
0.5,Ideal,E,VS2,62.9,54.0,5.14,5.1,3.22,1965.213839608938
1.25,Ideal,I,SI2,61.4,55.0,6.92,6.99,4.27,5820.545779466214
0.91,Very Good,G,VS2,62.3,59.0,6.13,6.17,3.83,5083.332911705733
0.44,Ideal,I,VS1,61.1,56.0,4.92,4.96,3.02,629.1874107257358
0.42,Very Good,E,SI1,62.3,58.0,4.76,4.81,2.98,680.4628018997596
1.29,Ideal,G,VS2,61.3,57.0,6.99,7.07,4.31,8707.646900112297
1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,7631.515529288241
0.6,Ideal,G,VS1,62.2,55.0,5.41,5.45,3.38,2864.2943129931678
0.3,Very Good,E,SI1,63.2,57.0,4.3,4.25,2.7,-228.29780638030434
0.31,Premium,H,SI1,62.3,55.0,4.36,4.34,2.71,-796.8004079186808
1.71,Premium,G,VS1,62.7,58.0,7.66,7.62,4.79,12864.809185081076
0.74,Ideal,G,SI1,61.3,57.0,5.81,5.83,3.57,3126.466412111316
0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,-285.7927155961538
0.71,Good,F,SI2,64.1,60.0,0.0,0.0,0.0,7567.440779713053
0.31,Ideal,D,SI2,61.3,56.0,4.36,4.41,2.69,-670.1132583352182
0.32,Premium,G,VS2,61.7,60.0,4.4,4.32,2.69,280.449459782159
1.54,Premium,G,SI1,61.0,59.0,7.43,7.38,4.52,10364.911267822492
1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,2752.119822221518
1.0,Very Good,F,VVS2,62.9,55.0,6.29,6.36,3.98,6885.154171174165
1.0,Premium,D,SI1,62.5,59.0,6.32,6.38,3.97,5806.557798768652
1.01,Ideal,H,VS1,61.5,56.0,6.48,6.43,3.97,5909.1881763104375
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,3973.0560312713965
0.29,Ideal,G,VS2,61.6,56.0,4.26,4.29,2.63,270.0818047748958
0.41,Premium,G,VVS1,60.0,59.0,4.84,4.83,2.9,1717.2529186631878
0.35,Ideal,D,SI1,62.3,55.0,4.54,4.51,2.82,515.572503851949
1.05,Ideal,F,SI1,61.8,57.0,6.51,6.54,4.03,6071.515299263892
0.3,Very Good,H,VVS1,62.2,58.0,4.26,4.29,2.66,428.46071816447375
1.22,Ideal,G,VVS2,60.0,58.0,6.95,6.99,4.18,8704.893982954887
1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,4365.6712453917335
1.22,Very Good,E,VS2,59.5,60.0,6.91,7.0,4.14,8211.414693523637
1.03,Very Good,F,SI1,60.6,63.0,6.47,6.5,3.93,5702.751851078682
1.57,Premium,F,SI1,62.0,58.0,7.47,7.41,4.61,10828.439042752589
0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,1683.6872674284582
0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,989.6549018890023
0.34,Ideal,E,SI1,63.0,55.0,4.47,4.42,2.8,222.8630011493201
1.01,Premium,F,VS2,63.0,58.0,6.43,6.36,4.03,6125.600206279838
0.34,Very Good,E,VS2,62.8,58.0,4.43,4.45,2.79,690.6425739236761
0.4,Ideal,E,SI2,61.2,55.0,4.74,4.77,2.91,-223.663205787072
0.39,Very Good,I,VVS2,63.0,56.0,4.62,4.68,2.93,511.36199575138517
1.57,Ideal,E,VS2,62.3,57.0,7.39,7.44,4.62,11661.01743662125
1.35,Premium,H,VS2,61.5,58.0,7.09,7.15,4.38,8676.769079209897
0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,375.7052522621684
2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,17693.421546733833
0.51,Very Good,G,VS2,62.7,57.0,5.05,5.12,3.19,1717.7053247667704
0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,1410.981069465534
0.56,Ideal,G,SI1,61.5,56.0,5.31,5.32,3.27,1627.8322382840174
0.35,Ideal,F,VVS1,61.8,55.0,4.53,4.57,2.81,1627.1399103504305
0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,3923.4083917561998
1.51,Ideal,I,SI2,61.2,58.0,7.33,7.42,4.51,8265.059769808986
1.01,Good,D,SI2,63.9,57.0,6.29,6.36,4.04,4756.573809392821
1.51,Fair,G,SI2,65.5,55.0,7.14,7.08,4.66,8422.22822297656
0.75,Very Good,H,VVS2,60.6,57.0,5.86,5.89,3.56,3916.4452004208774
0.5,Good,D,SI2,61.9,63.0,5.05,5.07,3.13,274.2872546392464
0.36,Ideal,G,VVS2,61.5,55.0,4.58,4.62,2.83,1441.2340388252574
0.63,Ideal,F,SI1,62.6,56.0,5.53,5.49,3.45,2323.9086227551747
0.47,Ideal,H,SI2,62.4,53.0,4.98,5.02,3.12,-481.3034733217437
1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,5309.945611713318
1.01,Very Good,G,VS2,63.2,55.0,6.39,6.34,4.02,5983.437519266905
0.9,Ideal,G,SI2,62.7,55.0,6.11,6.17,3.85,3613.7842987361346
1.51,Ideal,I,SI1,61.2,60.0,7.39,7.37,4.52,9114.380321016886
1.0,Good,I,SI1,57.6,61.0,6.56,6.52,3.77,4178.904288171401
0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,-413.20727610334643
1.63,Premium,I,SI1,61.7,58.0,7.54,7.51,4.64,10256.038120725572
0.4,Very Good,E,VVS2,61.4,56.0,4.74,4.81,2.93,1872.0421803635195
0.42,Very Good,G,VS1,60.6,58.0,4.82,4.95,2.96,1365.0156610622994
0.7,Premium,H,VS1,61.9,56.0,5.7,5.67,3.52,3121.29718411821
0.32,Very Good,D,SI1,60.1,60.0,4.38,4.4,2.64,250.1761257734156
0.75,Very Good,E,VS2,62.8,55.0,5.77,5.79,3.63,3998.641688523455
0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,1552.615109020116
0.25,Ideal,E,VS2,60.6,57.0,4.08,4.11,2.48,324.69388782100077
1.02,Ideal,F,SI2,61.6,56.0,6.52,6.49,4.01,4799.570493725559
0.4,Premium,D,SI1,61.1,58.0,4.75,4.74,2.9,790.5276944878019
0.48,Good,F,VS1,59.0,60.9,5.09,5.15,3.02,1854.0938995913307
0.31,Ideal,E,VS1,60.1,55.0,4.42,4.53,2.69,1040.203508219805
1.0,Ideal,H,SI2,62.5,54.0,6.32,6.38,3.97,4072.0053614651843
0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77,4073.6192912261095
1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,5927.365490576372
0.36,Premium,F,VS2,62.0,59.0,4.51,4.56,2.81,830.6102591921958
0.31,Very Good,E,SI1,63.1,57.0,4.31,4.28,2.71,-119.40514747461157
0.7,Fair,F,VS2,65.5,57.0,5.55,5.41,3.59,2661.726697819867
1.74,Premium,J,VS2,61.9,62.0,7.62,7.54,4.7,10993.128448916717
1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,13613.21363602365
0.36,Ideal,E,VS1,62.4,55.0,4.61,4.59,2.87,1253.6511429952857
1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,6752.257185798331
0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,5066.26809703023
0.33,Ideal,I,SI1,61.5,57.0,4.49,4.46,2.75,-1127.1802718561771
1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,4985.5901001915245
0.75,Ideal,E,SI1,62.1,55.0,5.81,5.85,3.62,3513.8391571446036
0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64,3777.308729505741
0.33,Ideal,E,SI1,59.6,57.0,4.53,4.49,2.69,223.89885276858467
0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,3111.6002273269187
0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,776.7410500427618
0.3,Premium,F,VS2,62.2,60.0,4.22,4.27,2.64,416.52590376064063
0.7,Ideal,F,VS2,62.0,56.0,5.71,5.74,3.55,3568.9129058790613
1.52,Fair,J,VS1,65.4,58.0,7.22,7.17,4.7,8359.440479772713
0.31,Ideal,G,IF,62.0,54.0,4.36,4.38,2.71,1487.6585295063755
0.51,Ideal,D,VS2,61.6,57.0,5.19,5.14,3.18,2242.899596047478
0.74,Premium,H,VS2,59.9,57.0,5.91,5.87,3.53,3155.171994371119
0.67,Good,F,VS2,58.1,62.0,5.76,5.83,3.36,3025.7548648100537
0.32,Ideal,H,VS1,62.1,55.0,4.39,4.4,2.73,283.03169774231037
0.72,Ideal,H,VS1,62.3,55.0,5.72,5.74,3.57,3398.483572238651
0.5,Very Good,E,VS2,62.8,60.0,5.02,5.08,3.17,1830.155334187018
0.86,Ideal,E,SI2,61.8,57.0,6.1,6.13,3.78,3460.030007421796
0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,1510.5690473600912
2.0,Fair,I,VS1,58.5,68.0,8.26,8.15,4.8,13817.64439709479
1.79,Very Good,F,VS2,62.8,59.0,7.7,7.8,4.87,13554.465100208557
0.7,Very Good,F,VS2,63.4,56.0,5.69,5.63,3.59,3383.6717954995847
0.7,Very Good,G,VS2,62.2,61.0,5.54,5.59,3.46,3283.2331276126683
0.28,Very Good,E,IF,59.6,55.0,4.24,4.31,2.55,1573.6447375939947
0.32,Premium,D,SI1,60.8,58.0,4.41,4.44,2.69,261.5051436483932
1.5,Good,I,I1,62.6,63.0,7.19,7.25,4.52,5123.774945512021
0.9,Fair,I,VVS2,60.9,66.0,6.1,6.12,3.72,3910.1930240245833
0.41,Premium,I,VVS2,62.4,60.0,4.73,4.7,2.94,599.4487543607788
1.0,Premium,J,SI1,58.7,58.0,6.55,6.51,3.83,3472.1122911626867
0.91,Very Good,H,VS2,58.3,59.0,6.35,6.47,3.74,4633.60524141357
1.07,Very Good,J,VVS2,60.0,60.0,6.57,6.59,3.95,5348.006246308929
2.2,Ideal,J,SI1,61.5,57.0,8.41,8.37,5.16,14989.423786851394
1.52,Very Good,D,SI1,60.6,57.8,7.4,7.46,4.51,10672.551845381398
0.31,Ideal,H,VVS2,62.3,55.0,4.36,4.37,2.72,561.9824607611422
0.9,Good,H,SI2,64.1,58.0,6.05,6.02,3.87,2752.5275763024033
0.41,Premium,J,VS1,61.3,59.0,4.78,4.74,2.92,-634.9821653614486
1.58,Premium,G,VS2,58.2,58.0,7.68,7.64,4.46,11375.549717701719
0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,4381.840819691744
1.2,Good,I,SI1,65.0,59.0,6.51,6.57,4.25,6036.807036202772
1.16,Very Good,F,VS2,60.2,63.0,6.79,6.7,4.07,7467.336261876277
0.3,Premium,H,VVS2,62.1,52.0,4.31,4.29,2.67,517.6706300700339
0.4,Premium,D,SI1,60.9,60.0,4.74,4.78,2.9,762.6867530433369
0.24,Very Good,F,VVS2,61.4,57.0,4.03,4.06,2.48,712.0635663518638
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,3082.3591906432825
0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,-132.3269073033639
0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,4956.508028740316
0.7,Ideal,D,VS1,62.5,57.0,5.65,5.68,3.54,4155.234174819197
0.52,Ideal,E,SI1,60.1,59.0,5.18,5.23,3.13,1606.1992451070596
0.41,Premium,E,VS1,62.3,59.0,4.76,4.74,2.96,1491.8211169246047
1.06,Ideal,G,VS2,61.8,57.0,6.52,6.56,4.04,6567.567056336573
0.72,Ideal,J,SI1,62.6,56.0,5.67,5.74,3.57,1088.2823417079076
1.54,Ideal,H,SI2,60.9,56.0,7.45,7.43,4.53,9048.548438625778
0.76,Ideal,D,SI1,61.2,57.0,5.88,5.91,3.61,3769.4973037563536
1.01,Very Good,D,VS2,60.4,58.0,6.47,6.57,3.94,6495.167418640416
1.0,Fair,G,VVS2,65.5,54.0,6.3,6.22,4.1,5815.2259667813105
2.02,Very Good,H,SI2,59.9,55.0,8.17,8.28,4.93,13697.41625504222
0.32,Very Good,F,VS2,63.2,58.0,4.35,4.32,2.74,453.5073526192923
0.32,Ideal,D,SI1,62.0,57.0,4.4,4.37,2.72,291.7143185793889
2.43,Premium,I,SI2,62.2,60.0,8.59,8.53,5.33,17144.438381003718
0.92,Very Good,E,SI1,63.3,57.0,6.22,6.17,3.92,4761.513989837073
0.41,Ideal,J,VS1,62.7,57.0,4.72,4.75,2.97,-541.7077117596723
0.38,Premium,H,VS2,60.5,59.0,4.69,4.66,2.83,270.31966417794274
1.71,Very Good,E,SI1,63.4,56.0,7.58,7.5,4.78,12280.107904834525
0.9,Very Good,I,SI1,61.4,55.0,6.19,6.28,3.83,3480.063081214012
0.43,Very Good,F,VS1,63.4,57.0,4.8,4.76,3.03,1546.7269798559769
0.7,Very Good,G,VS2,58.2,60.0,5.84,5.78,3.38,3267.4555217674574
0.51,Ideal,E,VS2,62.0,54.0,5.16,5.13,3.19,2117.696628748294
0.4,Good,E,SI1,63.5,58.0,4.65,4.67,2.96,339.1820655133565
0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,3454.8439838143
0.78,Good,E,SI2,63.7,54.0,5.82,5.77,3.69,2535.853124665306
1.12,Premium,F,SI2,60.5,59.0,6.73,6.79,4.09,5632.716581747716
0.4,Premium,E,SI1,60.8,62.0,4.76,4.72,2.88,492.0464648718257
0.51,Very Good,J,SI1,62.6,59.0,5.06,5.1,3.18,-835.2732960109965
1.01,Fair,E,SI2,67.6,57.0,6.21,6.11,4.18,3832.5246468924424
0.52,Ideal,E,VS2,61.7,55.0,5.16,5.21,3.2,2224.4011859493553
0.41,Ideal,E,VS2,61.8,56.0,4.78,4.74,2.94,1347.3035476354676
1.05,Premium,G,SI2,60.1,60.0,6.58,6.66,3.98,4791.232720619859
2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,14104.548924571316
0.9,Very Good,I,SI2,60.9,63.0,6.21,6.13,3.76,2327.309246198376
0.64,Premium,D,VS2,60.9,59.0,5.6,5.63,3.42,3204.2338344592954
1.22,Premium,I,SI1,62.1,58.0,6.89,6.8,4.25,6278.440375615426
1.32,Very Good,H,SI1,62.4,58.0,7.02,7.09,4.4,7708.989430126219
2.2,Premium,I,SI2,63.0,59.0,8.22,8.19,5.17,14904.449241209648
1.0,Ideal,G,VS2,62.6,57.0,6.47,6.4,4.03,5888.949375584917
0.54,Premium,H,VS1,61.9,56.0,5.29,5.24,3.26,1742.662989420934
2.25,Ideal,I,SI2,62.4,57.0,8.39,8.32,5.21,15458.67571873927
1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,4940.764504229925
0.62,Premium,F,SI2,61.7,60.0,5.48,5.45,3.37,1184.947228229119
0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,3067.912196293837
0.38,Ideal,D,VS2,61.8,56.0,4.65,4.67,2.88,1349.6521204278683
0.4,Very Good,D,SI1,63.1,57.0,4.73,4.69,2.97,664.8871788522342
0.61,Premium,D,VS1,62.4,57.0,5.46,5.44,3.4,3270.4753772533068
1.5,Good,J,VS1,64.1,55.0,7.23,7.13,4.6,8840.688434959766
1.25,Ideal,G,SI1,62.5,54.0,6.88,6.85,4.29,7764.39026008622
1.01,Fair,E,SI2,60.0,60.0,6.48,6.38,3.86,3989.8157318201556
0.83,Premium,G,SI2,61.6,57.0,6.06,6.02,3.72,2825.816065034591
1.53,Ideal,H,SI1,62.3,57.0,7.41,7.36,4.6,9818.814615000694
0.71,Ideal,E,VS1,62.4,56.0,5.75,5.7,3.57,3990.9139239686933
0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,-542.8299716202432
0.74,Ideal,F,SI1,61.2,56.0,5.83,5.87,3.58,3346.802108850074
0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,4305.483832326197
0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59,3499.3477361464115
0.42,Premium,H,VS1,61.7,59.0,4.76,4.83,2.96,875.9361305054695
0.94,Premium,E,SI2,62.4,58.0,6.26,6.33,3.93,4055.566584736388
0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,4311.732981451662
0.3,Premium,E,VS2,62.4,59.0,4.3,4.26,2.67,414.7188855839818
0.41,Very Good,E,SI2,63.3,56.0,4.73,4.69,2.98,-378.5690484606157
0.43,Ideal,D,VS2,61.3,55.0,4.84,4.88,2.98,1775.0401062505239
2.24,Premium,I,SI2,61.9,58.0,8.29,8.36,5.15,15383.355077151651
0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,4472.144196601936
1.12,Very Good,E,SI2,60.9,63.0,6.59,6.65,4.03,5679.280901061804
0.34,Premium,I,VS1,61.0,60.0,4.51,4.48,2.74,-241.52218162260897
0.3,Premium,G,VS1,62.5,55.0,4.32,4.25,2.68,520.8509964476439
0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,3693.8054624699466
1.0,Premium,F,SI1,59.7,60.0,6.48,6.51,3.88,5529.749825540817
0.43,Ideal,D,VS2,61.8,56.0,4.81,4.83,2.98,1747.2688712338909
1.01,Ideal,H,SI1,62.4,53.0,6.42,6.47,4.02,5075.624140473824
0.71,Good,D,SI2,56.6,63.0,5.9,5.76,3.3,2118.505045940362
1.12,Ideal,E,SI2,62.0,57.0,6.61,6.63,4.11,5849.795768309004
0.72,Ideal,H,VS2,62.8,57.0,5.74,5.7,3.59,2984.8348288474645
0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,2969.28596310924
0.52,Ideal,D,VS2,61.9,55.0,5.19,5.21,3.22,2386.0598421465634
0.3,Premium,D,VS1,60.2,59.0,4.39,4.42,2.65,982.2518926105699
0.35,Premium,E,VS2,61.6,58.0,4.57,4.52,2.8,776.9668559723536
0.32,Ideal,I,VS2,61.5,56.0,4.4,4.41,2.71,-518.5642573194732
1.01,Very Good,I,SI1,64.2,55.0,6.28,6.34,4.05,4438.573250371699
0.58,Ideal,E,VS2,61.9,57.0,5.37,5.33,3.31,2619.065385015337
0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2168.3346356422794
0.27,Very Good,F,VVS1,62.0,58.0,4.18,4.21,2.6,886.3393448659358
0.41,Ideal,D,VS1,61.8,57.0,4.8,4.75,2.95,1815.4916279909144
1.01,Very Good,H,VS2,63.5,61.0,6.32,6.24,3.99,5391.693714942648
